" Hey man, Raul don't take no shit from nobody. You see Quincy working on these
 birds? No way, man. Only Raul works on these babies. You know why? Cause
 Quincy don't know DICK, man, that's why!","Eh, amiga, a Raúl nadie le toma el pelo. ¿Ves a Quincy trabajando en estos pájaros? No, amiga. Sólo Raúl trabaja en estas monadas. ¿Sabes por qué? Porque Quincy no sabe un carajo, amiga, ¡por eso es!"
"Hey, sorry, man. Raul shouldn't be yelling at you, you know? It's
 not your fault; you're just the messenger. Hey, man, you busy right now?","Eh, perdona, amiga. Raúl no debería haberte gritado, ¿sabes? No es culpa tuya; sólo eres el mensajero. Eh, amiga, ¿estás ocupada?"
"No, me not busy. Why?","No, no ocupada. ¿Por qué?"
"Hey, thanks, man. Raul owes you one!
 Don't go away and, hey, man, if anybody
 screws with Raul's birds, you shoot them in the ass. Ok?","Eh, gracias, amiga. ¡Raúl te debe una! No te alejes y, amiga, si alguien intenta joderla con los pájaros de Raúl, les pateas el culo, ¿vale?"
"Hey man, what you think you doing? Get the fuck away from that bird,
 man! Raul's got enough problems without you grunts fucking with things, you
 know? Damn flyboys are bad enough!","Eh, amiga, ¿qué crees que estás haciendo? ¡Aléjate de ese pájaro, amiga! Raúl ya tiene bastantes problemas sin que vosotros los soldaditos vengáis jodiendo las cosas, ¿sabes? ¡Los malditos pilotos ya son un dolor!"
"Hey, man, Raul told you to keep the fuck away from his birds, man.
 Now Raul has to teach you to listen. Come on, man. Take off the fucking
 armor and go one on one, mano e mano with Raul.","Eh, amiga. Raúl te dijo que te alejaras de sus pájaros. Ahora Raúl va a enseñarte a hacerle caso. Vamos, pendeja. Quítate esa puta armadura y enfréntate a Raúl mano a mano."
"Then don't fuck with Raul's birds, man! Get out of here!","¡Entonces no toques los pájaros de Raúl, amiga! ¡Fuera de aquí!"
Raul thinks you must be nuts walking around here out of uniform.,Raúl cree que estás loca yendo por aquí sin uniforme.
"Hey, man, if the sergeant catches you out of uniform he'll hand
 you your ass.","Eh, amiga, si el sargento te pilla sin uniforme te va a romper el culo."
"Why are you out of uniform, man?","¿Por qué no llevas el uniforme, amiga?"
"Hey, man, what's up? We under attack?","Eh, amiga, ¿qué pasa? ¿Nos atacan?"
"Why the alert, man? What's happening?","¿A qué viene la alerta, amiga? ¿Qué está ocurriendo?"
"Raul's going to put you in med lab, man.","Raúl te va a mandar a la enfermería, amiga."
"Hey, man, say your prayers!","Eh, amiga, ¡reza lo que sepas!"
"Hey, man, it's in the locker over there. Take it and tell the doc
 Raul says hi.","Eh, amiga, está en la taquilla de allí. Tómalas y dile a Doc que Raúl le saluda."
"Hey, man! Raul don't like it when people mess with his shit. Get out, man.","¡Eh, amiga! A Raúl no le gusta que la gente meta las narices en sus cosas. Lárgate, amiga."
"This has happened once too often, asshole. Raul's gonna hurt you bad this time.","Esto ya es suficiente, pendeja. Raúl te va a hacer pupa esta vez."
What the hell is this? Infiltrator on base!,¿Qué demonios pasa aquí? ¡Intrusa en la base!
Goddamn it! Over here! Get the spy!,"¡Maldita sea! ¡Aquí, aquí! ¡Atrapad a la espía!"
"Yes, sir?","¿Sí, señora?"
"Yes, sir. The main base is located off the Pacific coast near the city of San Francisco. May I inquire why you are asking, sir?","Sí, señora. La base principal se encuentra más allá de la costa del Pacífico, cerca de la ciudad de San Francisco. ¿Puedo preguntarle por qué quiere saberlo?"
"Yes, sir. First, the vertibirds are the primary method used in reaching main base. Due to the complexity of their operation it is doubtful that subversives could commandeer a vertibird. Second, there is an operational fuel tanker in San Francisco harbor. The ship has, however, been disabled and a passkey is required to restart it. The base commander has the passkey in his possession. Third, with the proper equipment, you could conceivably swim to main base but the probability of survival is next to nil.","Sí, señora. Primero, los vertibird son el método principal que se usa a la hora de viajar a la base principal. Debido a la complejidad de su manejo es dudoso que elementos subversivos puedan pilotar un vertibird. En segundo lugar, hay un petrolero operativo en el puerto de San Francisco. Sin embargo, el barco ha sido inutilizado y se necesita una llave maestra para reiniciarlo. El comandante de la base tiene esa llave en su poder. En tercer lugar, sería concebible, con el equipo apropiado, alcanzar la base a nado, pero las posibilidades de supervivencia son cercanas a cero."
"Greetings, human. I am the warrior Xarn. Are you to be my executioner?","Saludos, humana. Soy el guerrero Xarn. ¿Vas a ser tú mi verdugo?"
"So be it. I do not intend to go quietly, human. Let us make this a
 battle to remember!","Que así sea. Pero no pretendo morir sin más, humana. ¡Hagamos que ésta sea una batalla para recordar!"
"(Xarn stares at you intently for a moment) I have nothing
 to tell you, human. I can sense the darkness of your soul.","(Xarn te mira atentamente por un momento) No tengo nada que decirte, humana. Puedo sentir la oscuridad de tu alma."
"Thank you again, my friend. I owe you a debt that can not be repaid.","Gracias, amiga. Tengo una deuda contigo que nunca podré compensarte."
"Greetings, human. The base is on full alert. Are you by any chance the cause?","Saludos, humana. La base está en alerta. ¿No serás por casualidad la causa de ello?"
"I thank you, human. Let us kick some Enclave ass! Pack Gruthar! Grrrrrrrhh!","Te lo agradezco, humana. ¡Vamos a patear algunos culos del Enclave! ¡Manada de Gruthar! ¡Grrrrrrrhh!"
"Die, treacherous human!","¡Muere, humana traicionera!"
"My, you're a big pup.","Oh, eres una grandullona."
"I love you, man!","¡Te quiero, tía!"
"I got the shakes bad, man.","Tengo tembleques gordos, tía."
More longer friend see that sky?,"Amiga, ¿ves ese cielo?"
"No, my friend, a MUMMY! Straight from the sands of ancient Egypt to the sands of the Wastes! Exclusively for you to see!","No, amiga, ¡una momia! Directamente venida de las arenas del antiguo Egipto a las arenas del Yermo. ¡Exclusivamente para que la contempléis!"
"Hello, welcome, salutations! I am the Great Ananias (he offers you a slight bow, with a flourish). I bring mysteries from near and far friend. Mysteries from a world beyond our own... of the Netherworld.","¡Hola, bienvenida, saludos! Soy el Gran Ananías (con un movimiento, te realiza una ligera reverencia). Traigo conmigo los misterios cercanos y de tierras lejanas. Misterios de un mundo más allá del nuestro... los del Inframundo."
"You're not going to take my family, slaver!","No vas a arrebatarme a mi familia, ¡negrera!"
"Die, slaving scum!","¡Muere, escoria esclavista!"
"You'll pay, you bastard!","¡Me las pagarás, zorra!"
Welcome to the guild!,¡Bienvenida al gremio!
You drive a hard bargain. Here is your money!,Eres dura a la hora de negociar. ¡Aquí está tu dinero!
Excellent! It may take a few days for you to travel there and back. Are you ready to leave now?,¡Excelente! El viaje y la vuelta podrían llevarte unos pocos días. ¿Estás lista para partir?
You a friend of Becky?,¿Eres amiga de Becky?
"Grab a drink, friend!","¡Tomate una copa, amiga!"
I can handle myself.,Puedo arreglármelas sola.
No doubt. Otherwise you probably wouldn't have made it here alive.,"No lo dudo. De otro modo, seguramente no hubieras llegado viva aquí."
"Well it depends on what you're good at. There is something I'm curious about. If you can find out, I'll pay you a bit.","Bueno, depende de si eres buena en algo. Hay un tema sobre el que tengo curiosidad. Si puedes averiguar algo, te pagaré."
You ready?,¿Estás lista?
Let's go. I'm ready.,Vamos. Estoy lista.
Bitch!,¡Puta!
Metzger'll have your head. Back off man.,"Si entras ahí, Metzger se quedará con tu cabeza. Atrás, amiga."
"Talk to Metzger, not me, buddy.","Habla con Metzger, no conmigo, amiga."
"Hey, man.","Eh, tía."
You just going to stand there or are you going to say something?,¿Te vas a quedar ahí parada o vas a decir algo?
"You fucking moron, what do you think I am, a fucking store or something? If you get
 a slave you'd like to sell, let me know. If you want to sell something else, go to a fucking store.","Puta imbécil, ¿qué te crees que soy? ¿Una puta tienda o qué? Si tienes un esclavo que quieras vender, házmelo saber. Si quieres vender otra cosa, vete a una puta tienda."
"You think you can cut it? I don't take in just anyone... What the hell. If
 you fuck up, I'll sell you off. You'll have to get a tattoo on your forehead
 identifying you as a slaver to everyone. It's permanent, so no second thoughts.","¿Crees que podrás soportarlo? No suelo aceptar a cualquiera... qué demonios. Si la jodes, te vendo como esclava. Tendremos que hacerte un tatuaje en la frente que te identifique ante todo el mundo como esclavista. Es permanente, así que piénsatelo bien."
"Yeah, you might do... You don't need much in the way of brains to go on a run.
 If you fuck up, I'll just sell you off. If you think you can cut it you'll have
 to get a tattoo on your forehead identifying you to everyone as slaver.","Sí, quizás puedas hacerlo... No hace falta mucho cerebro para ir de cacería. Si la jodes, te venderé como esclava. Si crees que puedes hacerlo tendremos que hacerte un tatuaje en la frente que te identifique como esclavista ante todo el mundo."
"You fucking idiot. What the hell makes you think I want that moron back? It took
 him forever to fix a damn radio! A radio! You're stuck with him. I don't want him
 breaking anything else around here.",Puta idiota. ¿Qué te hace pensar que quiero a ese imbécil de vuelta? ¡Le costó una eternidad arreglar una maldita radio! ¡Una radio! Es todo tuyo. No le quiero por aquí rompiendo más cosas.
I'm not getting out of this am I?,"¿No voy a salir viva de esto, no?"
Here you go. You look half-starved. (Mom hands you a big steaming plate of delicious smelling food.),Aquí tienes. Parece estar medio muerta de hambre. (Mamá te entrega una gran fuente humeante con comida que huele deliciosamente).
You a friend of Frankie?,¿Eres amiga de Frankie?
"Sir, [cough] can you help a poor man down on his luck?","Señora, [cof] ¿puede ayudar a un pobre hombre con mala suerte?"
"Please help me, sir.","Por favor, ayúdeme, señora."
Thief!,¡Ladrona!
Hope everything's going well for my favorite customer! What can we do for you today?,¡Espero que todo le vaya bien a mi cliente favorita! ¿Qué podemos hacer por ti?
Welcome back to Rebecca's Bar and Casino. How can I help you?,Bienvenida de nuevo al Bar y Casino de Rebecca. ¿En qué puedo servirte?
"Sure, handsome.","Claro, guapa."
"Of course, don't be silly.","Por supuesto, no seas tonta."
"Well, since you're such a good customer, I'll let you in on a little secret.
 It's simple really - I have a still. A friend from a nearby town taught me how to
 make one. So, would you like another one?","Bueno, dado que eres tan buena cliente, te confiaré un pequeño secretillo. Es muy simple... tengo una destilería. Un amigo de un pueblo cercano me enseñó como construir una. ¿Querrás otra copa?"
Murderer!,¡Asesina!
You are not welcome here. Please leave.,"Aquí no eres bienvenida. Por favor, vete."
